start	end	text
90000	96800	All right, folks.
96800	99760	Let's get started.
99760	102160	Anybody have any notes?
102160	103160	I do not.
103160	107160	I think everything's going well from my side.
107160	111000	Anything on your side that's not going well?
111000	115000	All right.
115000	118000	Things are going well.
118000	122840	Interesting, like, news item for the day.
122840	130640	This is a graph representing the amount of time it takes to run a linter on the CPython
130640	133780	codebase from scratch.
133780	137400	The top line is a service called Ruff.
137400	142640	Down below, autoflake, flake8, pyflakes, pycode-style, pylint.
142640	147900	For those of you who don't know, a linter is something that goes through a codebase
147900	157260	or it parses code to find idiosyncratic usages of the language.
157260	162000	So it will alert you in JavaScript if you have forgotten your semicolon.
162000	164280	And it suggests maybe you want a semicolon.
164280	168980	Even though it's not needed, it's purely a cosmetic improvement.
168980	170360	But somebody's got to do it.
170360	173640	So Ruff is a new service that does this.
173640	180440	And it does it in .3 seconds, compared to the next fastest in 6 seconds.
180440	184260	Which is 20 times faster than the next fastest competitor.
184260	188420	The only difference between the first one and the bottom five...
188420	190460	The first one is written in Rust.
190460	194300	The bottom five are all written in Python.
194300	195920	They implement the same features.
195920	198500	They're doing the exact same thing.
198500	202000	The people who wrote these bottom five weren't dumb.
202000	204940	They're often the maintainers of Python.
204940	206840	They're very intelligent people.
206840	212000	But if you write it in Rust, it'll be 20 times faster.
212000	214000	Kind of interesting.
214000	217240	All right.
217240	220080	Let's do an activity.
220080	225600	Because I like activities.
225600	234820	You guys can see this.
234820	237260	Can everybody read this code?
237260	239740	Is that big enough for everyone in the back?
239740	240740	Cool.
240740	241740	All right.
241740	243780	This is from the midterm.
243780	244820	This is the assignment.
244820	248360	This is a problem that I gave on the midterm last semester.
248360	255820	I asked the students from last semester to tell me what the output of running this program
255820	258000	is.
258000	262600	So I think let's start class by trying to solve that.
262600	268480	And hopefully what we'll find is it's a little tricky to solve with our current knowledge.
268480	273100	But through today's lecture, we'll develop some tools to help us solve it more consistently.
273100	278220	So my task for you is chatting with two or three people around you.
279080	283800	Try and figure out what is printed on line 14 to console.
283800	289720	You can use scratch notes or any paper that you want.
289720	291040	But try and figure it out.
291040	294800	What's the output of the last line?
294800	296560	If you can do it all in your head, great.
296560	297560	That's fine.
297560	298560	You don't need to.
298560	300560	Because computers don't.
300560	303080	So all right.
303080	304120	Chat with people next to you.
304120	306140	Figure out what it is.
334120	336140	All right.
364120	366140	All right.
394120	416120	What do you guys think it is?
416120	417120	35?
417120	418120	25?
418120	419120	You got an idea?
419120	420120	Still working through it?
420120	421120	What are you thinking so far?
422120	423120	20 does become the Y.
423120	424120	Okay.
424120	425120	Why would it?
425120	426120	Or why wouldn't it?
426120	427120	Uh-huh.
427120	428120	I think it does.
428120	429120	Okay.
429120	430120	Yeah.
430120	431120	I like the idea that it does.
431120	432120	Yeah.
432120	458120	And then what's G?
459120	466120	I'll let you keep working through it.
466120	470120	It sounds like you're on the right path, though.
470120	473120	How's it going over here?
473120	474120	You guys have an idea?
474120	475120	Nine.
475120	476120	Nine?
476120	477120	Why is?
477120	478120	It's a closure problem, right?
478120	479120	It is a closure problem.
479120	482120	And is it related to F not being graphed as like another
482120	484120	anomalous function?
484120	486120	We give the other answer.
486120	494120	What's the other answer?
