start	end	text
0	27000	Hopefully that doesn't keep happening.
27000	51000	Thank you.
51000	79000	Thank you.
79000	85280	All right, guys.
85280	87600	Let's go ahead and get started.
87600	90400	So to start off, we got some notes.
90400	95520	The early deadline for the first homework and programming assignment are tomorrow.
95520	100520	So that is if you want 10% bonus points, submit by tomorrow night.
100520	106640	Otherwise, the normal deadline is this Sunday night at 11.59 p.m.
106640	108840	So get working on those.
108840	111120	I have office hours after class today.
111120	115520	If you're having any trouble setting things up or have questions, feel free to stop by.
115520	119160	I also have a chess board in there if you want to just sit and play chess for a little
119160	120160	bit.
120160	121160	Recordings.
121160	124760	I missed on Monday, I forgot to set up Zoom.
124760	127720	But hopefully I've contacted the department.
127720	129540	That thing looks like it's on.
129540	132660	I see myself in the camera over here.
132660	138000	So hopefully everything will be official and through Canvas going forward.
138160	140320	So use those for what you will.
140320	145680	If it turns out that you guys prefer watching recordings online, that's fine.
145680	147800	We'll have a little bit more of a sparse classroom.
147800	152520	For the people who do show up, just come sit closer to the front and we'll have more fun.
152520	153920	Okay.
153920	154920	Those are my notes.
154920	156920	Are there any notes from you guys?
156920	158880	Anything that's not working?
158880	161840	Any questions before we dive into lecture?
161840	162840	Yeah?
162840	174400	Is the early deadline just literally however many days beforehand and it's still midnight?
174400	175400	Yes, it's still midnight.
175400	176400	Yeah.
176400	177400	Yep.
177400	180640	The early deadline is at midnight or 11.59 p.m.
180640	181640	Yeah?
181640	187200	What's the name of the written assignment?
187200	188200	Yeah.
188200	189800	So grade scope is a little tricky.
189800	194160	So the question was, if we are submitting the written assignment as a group, which you
194160	199520	should definitely be submitting as a group, you need at least one group member.
199520	201360	What's the process for that?
201360	207560	After you submit as one person from the group, you can go to the submission and add your
207560	210200	teammates to that submission.
210200	215600	So one submission per group for the entire group, one submission.
215600	217480	Add your teammates.
217480	221320	Also select where the problem is in your submission.
221320	222960	So it will say, like, where is problem one?
222960	225720	And you highlight the area that is problem one.
225720	226720	Yeah.
226720	227720	That's all on grade scope.
227720	228720	Yeah?
228720	241800	Can we submit just the PA early or just the homework early?
241800	243160	And do you still get the extra credit?
243160	244160	Yes.
244160	247080	The extra credit is tied to the individual assignment.
247080	251080	So if you submit the PA early, you get 10% bonus points on the PA.
251080	255840	If you submit the homework early, you get 10% bonus points on the homework.
255840	258680	They're separate pieces.
258680	260600	Yep.
260600	265340	Anything else?
265340	269100	As we get into a rhythm with it, these will be very comfortable.
269100	271760	It's the same thing every time.
271760	275080	All right.
275080	282240	In that case, let's get back into JavaScript.
282240	283680	First class functions.
283680	284680	What are they?
284680	290080	Who can give me the three points of what makes a first class function all at once somebody
290080	293460	who didn't answer the same question yesterday?
293460	295280	What is first class functions?
295280	296280	What does it mean?
296280	297280	Yeah.
297280	298280	Go for it.
298280	308920	Yeah.
308920	315440	So is it using functions to create scopes for the variables inside of it?
315440	319560	That's one of the things that first class functions allows us to do.
319560	324920	So it's a capability of first class functions, but it's not necessarily what they are.
324920	325920	Yeah?
325920	340880	So it's the three things of the function can be defined in any scope, they can be passed
340880	347360	to other functions as values, and they can be returned from functions as values.
347360	353160	To say it in one tagline, first class functions means functions are values.
353160	355360	They're just normal values.
355360	361440	Just like you say let X equal 3, you can say let X equal a function.
361440	363280	All right.
363280	370240	So then that leads to a little bit of a pretty natural question coming after that.
370240	374600	Are these functions that we're working with the same thing as function pointers that you
374600	377600	might have seen in other languages like C?
377600	383880	Where you can, for example, call sort with a comparison function.
383880	389760	Where you tell the sort function how to sort the things in your list.
389760	391540	That's using a function pointer.
391540	396920	So are the functions that we're working with, these first class functions in JavaScript,
396920	398920	are they just function pointers?
398920	404600	This is one that I do want you to take a minute, chat with your peers, whoever's next to you,
404600	406800	yes or no, and why.
406800	407840	What makes it the same?
407840	410000	What makes it different?
410000	412920	So take a minute or two to chat.
472920	483880	All right.
483880	487320	Sounds like conversation is settling down.
487320	489600	Let's get a quick class poll.
489600	492680	How many people are in the yes camp?
492680	498420	These are just like the function pointers that you would see in, for example, C.
498420	501300	What about how many people are in the no camp?
