start	end	text
30000	42680	All right, welcome to class.
42680	46760	Let's get started.
46760	50360	So some of you may have seen some cool news today.
50360	52120	Let me hit the lights.
52120	60760	Google, or the CEO of Google, just put this out.
60760	63680	An important next step for our AI journey.
63680	70640	Some of you have probably been following GPT-3 and 3.5, chat GPT, that sort of stuff.
70640	78280	Google has an AI model similar to GPT-3 that's literally three times larger.
78280	79280	And they've had it forever.
79280	81680	They just haven't been letting anybody use it.
81680	88720	They announced today what they're calling BARD, which is effectively chat GPT, but Google
88720	89720	branded.
89720	90920	It's their version.
90920	93920	With potentially a model that's significantly more powerful.
93920	97160	So some fun stuff in the news today.
97160	100460	We don't get access to it for a little bit longer, but that's Google for you.
100460	108360	So just thought I'd give you that update in case you haven't seen it.
108360	109360	Today...
109360	110360	Oh, yeah?
110360	112920	What do companies do keeping it internal?
112920	115040	What do companies do keeping it internal?
115040	116040	What do you mean?
116040	117040	So something like chat GPT.
117040	118040	I know it's not making any money for Microsoft just yet.
118040	119040	But it's, like, good marketing.
119040	120040	Right?
120040	121040	But unless Google is integrating this into one of their services, what is the point of
121040	134040	keeping it on your laptop?
134040	135040	Yeah.
135040	136640	So what's the point of keeping...
136640	141040	As a business, what's the point of keeping a service that you've created internal and
141040	144520	not allowing kind of open access to it?
144520	146720	I think the first thing is...
146720	149060	Why allow open access to something?
149060	150760	The pro is...
150760	151920	You might make money.
151920	153840	You can potentially sell the service.
153840	154880	That's great.
154880	158080	The con is that people are gonna be messing around with your service.
158080	161040	And maybe they're gonna be able to do things that you aren't expecting them to do.
161040	164920	You might get really bad PR, especially.
164920	168440	Google is very conscious of their PR.
168440	173560	When it comes to AI, they don't want to be too scary.
173560	179120	So keeping things internal keeps their PR presence contained.
179120	187160	It means that when chat GPT says something racist or very out there and problematic,
187160	188520	that's on open AI.
188520	191000	Open AI has released that model.
191000	192240	Anybody can use it.
192240	196720	Google doesn't have that problem, because Google has not released their model.
196720	201520	The benefits of keeping something internal, though, go beyond just having something internal.
201520	203800	They can still use it.
203800	207840	Open AI has built something that a lot of engineers are using now.
207840	212840	So Copilot is something done by open AI that's great and useful.
212840	218080	But beyond that, their GPT model is useful for all sorts of data processing.
218080	224400	Google definitely uses Lambda, their GPT equivalent, internally to do data processing.
224400	225400	Yeah.
225400	229040	So there's a lot of benefit to having it.
229040	233640	Even if it's not directly generating funds.
233640	234960	That's not what we're talking about today.
234960	237480	That's a future lecture, if we have time.
237480	244400	Today, what we're talking about is fundamentals of Lambda calculus.
244400	253680	Today, what we're talking about is fundamentals of Lambda calculus.
253680	257000	Before we get started, a couple of quick notes.
257000	259560	Homework 2 and PA2 are released.
259560	263000	Homework 2 is decently harder than Homework 1.
263000	264000	It's longer.
264000	265080	There are more questions on it.
265080	269600	Homework 1 had seven pretty short questions that you could kind of just throw into Node
269600	271240	and see what happens.
271240	275480	Homework 2 has, I think, four times as many questions.
275480	276480	Start earlier.
276480	279000	PA2, though, is a bit easier.
279000	283920	It's just got, like, three or four functions that you have to implement.
283920	285640	Video recordings seem to be a success.
285640	287000	I have another one going now.
287000	293200	So hopefully you'll always be able to watch these recordings as you study later.
293200	296680	Any questions on those two before the third one?
296680	301480	Oh, yeah.
301480	302480	That's me.
302480	303480	Sorry.
303480	304840	I normally turn that off at the start of class.
304840	308080	I got excited by this Google announcement.
308080	309720	It's really cool.
309720	314920	It's three times bigger than OpenAI.
314920	315920	Not necessarily.
315920	316920	No.
316920	322680	It is likely better, but it's not guaranteed to be.
322680	323960	Whole different training regimen.
323960	324960	So...
324960	325960	Could be anything.
325960	326960	Questions.
326960	327960	Questions.
327960	328960	Questions.
328960	329960	Okay.
329960	334840	Then the form here that I have is a quick...
334840	337360	Like it should take two minutes.
337360	340480	It's a form that I have hosted on my website.
340480	348240	If you go to uw.pister.dev...
348240	351240	There's this DEIB form here.
351240	358200	It'll take you to a Google form where I'm asking a simple set of questions.
358200	359200	It's not...
359200	360200	Oh.
360200	361200	Okay.
361200	362200	It apparently needs you to log in.
362200	365480	It does not collect your email or anything of the sort.
365480	366720	It's completely anonymous.
366720	369600	I am not recording names or anything like that.
369600	375080	But this is part of the micro grant that I received where I'm trying to figure out how
375080	378760	to engage best for your learning.
378760	382400	So if you could answer those questions as honestly as you can.
382400	387120	If you don't have a computer with you today, I mean, you could probably do it on your phone,
387120	388320	because it's a Google form.
388320	391720	But the slides are up with the links, so please do it later.
391720	397280	I'll give you guys two to three minutes right now, though, just to fill it out.
397280	398520	Don't spend...
398520	400060	You don't need to put a lot of effort.
400060	402440	Just whatever first comes to mind.
402440	403440	Yeah.
403440	404440	Yeah.
404600	407600	The link is...
407600	410600	Somewhere.
423240	424240	Is it working?
424240	425240	You guys can access it?
425240	426240	Okay.
434440	437440	Okay.
464440	467440	Okay.
494440	497440	Okay.
524440	528440	Okay.
554440	574440	All right.
574440	576320	If you were able to fill out the form, thank you.
576320	578000	I appreciate your input.
578000	580960	It will improve my teaching down the line.
580960	583640	If you weren't able to fill out the form, either you need more time or you didn't have
583640	587060	your computer, please find time later tonight to do that.
587060	590000	It really just takes, like, two minutes.
590000	593880	Now we're going to move on to LambdaCalc, though.
593880	596880	So I did a sign reading.
596880	597880	A sign reading.
597880	602800	I uploaded, like, a few photos from my phone of a book.
602800	607160	How many of you were able to read the PDF that I uploaded?
607160	608400	Okay.
608400	609400	Decent number of you.
610200	615600	Then some decent number of you understand what this line of code means.
615600	620200	But we're going to dive into it pretty explicitly.
620200	631360	So what I'm saying here is an expression can become a variable X, or it can become a function
631360	639320	that takes a parameter X and has an expression for a body, or it can become an expression
639320	643320	with another expression passed in as an argument.
643320	649740	That's the English way of reading this line of code.
649740	654480	So how can we use that?
654480	656160	If we wanted to...
656160	657160	This is...
657160	658160	Sorry.
658160	659160	Backing up a step.
659160	663080	This is the grammar for LambdaCalculus.
663080	668360	This is the CFG, the context-free grammar, for the language LambdaCalculus.
668360	669960	That's all that you need.
669960	678800	So what this means is that we can start from E and turn this into a valid LambdaCalculus
678800	680320	program.
680320	686760	That's one step that we could take from E to generate a valid LambdaCalculus program.
686760	700120	Yeah, so we can use E goes to an X and turn this into the variable X.
700120	703080	X is a LambdaCalculus program.
703080	706400	All it is is a variable called X.
706400	707880	That's the program.
707880	709840	Pretty simple.
709840	712720	What if we wanted a slightly more complex program?
712720	720980	What's a different step that we could take right here that would lead us down that path?
720980	733120	What else could we do?
733120	734400	Apply E to itself.
734400	746080	So we can use this third rule to turn E into E1, E2, where these are different Es.
746080	750080	What's another step that we can take from this program?
750080	751840	This is a partial program.
751840	754360	It's not complete.
754360	755360	What can we do to this one?
755360	756360	To E1, E2?
756360	774360	Yeah, so let's turn this...
774360	775360	Either one.
775360	776360	Either one or both.
776360	777680	We could turn into X.
777680	784200	So we could say that this E1 becomes an X, and then we still have our E2.
785040	789960	So E1, by this production rule, we could turn E into X.
789960	791960	So we've turned E into X.
791960	794120	We've turned E1 into X specifically.
794120	796560	We still have E2.
796560	802040	What else can we do to continue simplifying or turning this into a real program?
802040	820200	Yeah, so let's turn this E2, using the second rule, into lambdaX.E.
820200	826200	So this would turn into X, lambdaX.E.
826200	834320	I'm putting parentheses just to keep that together, because this one E, E2, turned into
834320	839000	lambdaX.E by our second production rule.
839000	840000	But it's still not done.
840000	841440	We have an E in here.
841440	842440	What can we do?
842440	851640	Yeah, sure, we could turn this E into an X, using the first rule.
851640	858680	And our final result here would be X, lambdaX.X.
858680	864240	This is another valid program in lambda calculus.
864240	867320	I don't know what it means or what it does.
867320	870200	Right now, we don't actually care.
870200	875240	But we know that it's valid, because we used the syntax, the grammar that we've been given,
875240	881560	to generate it.
881560	886160	We're gonna spend a little bit more time with the slides, like, diving into what's valid,
886160	887480	what's not valid.
887480	894000	But these steps that we take here are the fundamental steps of developing a program
894000	895720	from a grammar.
895720	898160	You do it with everything that you do.
898160	904040	When you write code, JavaScript has a grammar that's way more complicated than this, but
904040	906680	it fundamentally turns into something like that.
907080	912720	English as well has a grammar where we start from expressions and build things out with
912720	918520	noun phrases and replace the noun in the noun phrase with this or that.
918520	923280	So context-free grammars have applications everywhere.
923280	926360	Here what we're using them for is to generate valid programs.
926360	927360	Yeah?
927360	938280	Yeah, so what's the deal with these 1, 2?
938280	940520	Why doesn't this one have one?
940520	942240	The numbers here are arbitrary.
942240	943920	We could give them any name we wanted.
943920	953700	We could say that this is E1, and E1 turns into E2, E3, which turns into XE3, which turns
953700	956320	into E4.
956920	962720	So each of these are their own expression, independent of the other expressions.
962720	966760	That's what the context-free part of context-free grammar means.
966760	967760	Yeah?
967760	975280	Yeah, so what's the deal with this X?
975280	978320	Or this X or this X, right?
978320	979560	Or even this X.
979560	983000	So all of these are variables in our language.
983000	988840	They're just like in JavaScript when we say let X equal 3.
988840	990760	This X here.
990760	993640	They're the variables that are gonna capture some meaning.
993640	996840	We can actually use whatever we want here.
996840	1001400	So we could say this is actually the variable Y.
1001400	1002480	You know, use a different name.
1002480	1005000	I've just put X to keep things simple.
1005000	1006840	We can name it whatever we want.
1006840	1009400	Just don't name it E, because E is our expression.
1009400	1016600	I think for clarity, could you explain the difference between the X, which is a variable,
1016600	1019800	and an expression, which is E, right?
1019800	1020800	Right.
1020800	1029720	So what's the difference between this and this?
1029720	1037600	The key difference, E has somewhere to go.
1037600	1039360	It is non-terminal.
1039360	1044600	E can turn into one of these three things.
1044600	1048040	X is what's called a terminal.
1048040	1050320	There's nowhere that X can go.
1050320	1052980	It can't turn into anything else.
1052980	1060720	We don't have a rule that says X is equal to, I don't know, what would even make sense
1060720	1061720	here.
1061720	1064480	Let's say X is equal to 3.
1064480	1072080	If we had a rule like this, that means when we're generating our program, we have to turn
1072080	1078520	these Xs into their corresponding value, in this case, 3.
1078520	1087200	Because we don't have a production rule with X in it, X is a terminal value, and that's
1087200	1088200	just part of our language.
1088200	1094640	It's a feature of our language.
1094640	1097160	So this is the syntax.
1097160	1098160	It's the grammar.
1098160	1099160	Do you have another question?
1099160	1100160	Yeah.
1100160	1103160	Again, could you also just explain what lambda is?
1103160	1105600	Ah, yeah, sure.
1105600	1107400	What is lambda?
1107400	1108800	What is dot?
1108800	1110160	What do these things mean?
1110160	1111720	At this point, it doesn't matter.
1111720	1114840	We're talking not about meaning.
1114840	1119080	We're just talking about what is valid and what's not valid.
1119080	1121880	What programs can exist?
1121880	1125760	The meaning is something that we're going to dive into of, like, what does each of these
1125760	1127720	characters represent?
1127720	1129880	But that's semantics.
1129880	1134440	This is syntax.
1134440	1138200	And I want those two to be pretty separate in your mind.
1138200	1141620	What is a valid thing in lambda calculus?
1141620	1151060	And then once I know that it's valid, what does that valid thing mean?
1151060	1157980	The one thing that I've put in here that's not actually in our grammar is these parentheses.
1157980	1162180	Parentheses help us just to associate things together, just like we would do in math, where
1162180	1167460	you say, like, multiply these two things first, then do the division.
1167460	1174100	So any time we turn E into one of these three, we're effectively putting parentheses around
1174100	1175100	it.
1175100	1181060	And we could, if we wanted, put parentheses around each of those production rules.
1181060	1182060	Yeah?
1182060	1190900	Shouldn't it just start by, like, readability, which is, like, names, and stuff like that?
1190900	1191900	Well, so...
1191900	1192900	Do they actually change the...?
1192900	1193900	Right.
1193900	1194900	Yes and no.
1195220	1198020	And this, our equivalent...
1198020	1200180	In this case, it is just readability.
1200180	1203100	At some points, parentheses will matter.
1203100	1208220	So having them helps from the start.
1208220	1210940	But they will matter.
1210940	1213500	Yeah.
1213500	1216140	Okay.
1216140	1225500	Any other questions on syntax here?
1225500	1231620	If this is the first time you've seen context-free grammars, I recognize it's tricky.
1231620	1232620	They're different.
1232620	1235700	And it's a new way of expressing language.
1235700	1238580	Read the chapter that I uploaded to Piazza.
1238580	1239780	It's ten pages.
1239780	1240780	It's not...
1240780	1242780	And it's a small book.
1242780	1246580	So it will probably take 15, 20 minutes tops.
1246580	1248580	And it will hopefully clarify some of this.
1248580	1249580	Yeah?
1249580	1260580	Does the X in front of the root get the statement that's kind of part of the head, or is the
1260580	1261580	head just the lambda X?
1261580	1262580	The head.
1262580	1263580	I guess, I don't know.
1263580	1264580	I'm just trying to figure out the format of it.
1264580	1271580	I'm trying to figure out the format of it so I can read something that says that the
1271580	1272580	head is the lambda...
1272580	1273580	Oh!
1273580	1274580	In lambda calculus, you mean.
1274580	1275580	Yeah, yeah, yeah.
1275580	1277140	So there's...
1277140	1278880	This is its own expression.
1278880	1279880	This X.
1279880	1282140	You're asking about this piece, right?
1282140	1283140	Yeah.
1283140	1290260	So this piece here, this lambda X dot, which corresponds to this piece here, that's what
1290260	1292980	we're going to dive into with semantics.
1292980	1294980	Yeah.
1294980	1296980	Okay.
1296980	1307620	So let's start talking about semantics.
1307620	1310140	Because that's what you guys keep asking about.
1310140	1311140	Which is fair.
1311140	1316980	Because that's what the language actually is.
1316980	1321020	Okay.
1321020	1323700	So we've seen this grammar.
1323700	1326100	That's what I just had up on the board.
1326100	1331260	E can turn into a variable, which we could call X, Y, Z, whatever we wanted.
1331260	1337400	It can turn into a function that takes a parameter named X and returns an expression E. Or it
1337400	1343020	can turn into a function application of E1 onto E2.
1343020	1347140	So we have variables, such as X, Y, Z.
1347220	1352140	We have functions, or lambda abstractions is another way of saying that.
1352140	1356340	I'm going to dive into that part next.
1356340	1364220	But the way to, like, just very straightforwardly think of it is lambda X dot E is equivalent
1364220	1368500	to X arrow E in JavaScript.
1368500	1372060	We've just started working with arrow syntax.
1372060	1376420	But if you're getting more familiar with it, that might help.
1376420	1380300	And then the last thing that we have is function application.
1380300	1387180	Which in JavaScript looks like E1 is the function, where E2 is the argument.
1387180	1392420	So these are the JavaScript conversion rules.
1392420	1397380	Okay.
1397380	1400920	We're sticking with syntax just for a second.
1400920	1408480	One term that we might have is something like lambda X dot 2 plus X.
1408480	1410840	And immediately you might say, hey, wait.
1410840	1412000	You've lied to me.
1412000	1413000	What is 2?
1413000	1414220	What is plus?
1414220	1415840	We don't have those things in our language.
1415840	1419280	We only have X, lambda X, E1, E2.
1419280	1420460	And that's fair.
1420460	1428220	But you can't actually represent numbers and addition with these terms alone.
1428220	1430980	We will do that at the end of next lecture, I believe.
1430980	1432300	So for now, just bear with me.
1432300	1437620	We can pretend that they exist in our language as normal entities.
1437620	1444660	So lambda X dot 2 plus X would be the equivalent of a JavaScript function that takes a variable
1444660	1451260	X and it returns 2 plus X.
1451260	1458940	If we wanted to call that function with the value 5, that would look something like this.
1458940	1465540	Lambda X dot 2 plus X applied to the value 5.
1465540	1471460	So if we looked at it in JavaScript, that would look something like X arrow 2 plus X
1471460	1479260	with the input value of 5.
1479260	1481540	Before we get to this complicated one...
1481540	1482900	Oh, no?
1482900	1483900	Okay.
1483900	1487300	I hit it too many times.
1487300	1494540	I want to take a step and go backwards from what we're looking at there.
1494540	1497220	Which is hard, because they don't give us much whiteboard space.
1497220	1499100	But we'll make it work.
1499100	1508920	So we have lambda X dot 2 plus X applied to 5.
1508920	1511360	They have one more set of parentheses.
1511360	1514960	That's fine.
1514960	1521120	So I want to use the syntax that we have, our grammar that we've defined, and break
1521120	1525440	this apart into the rules that we have.
1525440	1530300	Using X, lambda X dot E, and E1, E2.
1530300	1541220	How can we reverse engineer this statement into the expressions that it's composed of?
1541220	1546340	What would be the steps to do that?
1546340	1550620	Yeah.
1550620	1556480	Let's do a little bit of a simpler one.
1556480	1567640	If we have lambda X dot X, we can go backwards from this state to our expression by saying
1567640	1575280	this is equivalent to lambda X dot E, where we've turned E into X.
1575280	1578120	So we're reversing our production rule.
1578120	1585560	And then this is equivalent to E. Where E is using the production rule, E turns into
1585560	1592880	lambda X dot E. Using the production rule, E turns into X.
1592880	1598360	So if we started with E, we could take this step and then take that step using our production
1598360	1601400	rules.
1601400	1606560	I want to do that same process on this more complicated term.
1606560	1608400	Yeah.
1608400	1619840	Yeah, so let's turn 2 plus X into E. That's a reasonable thing to do here.
1619840	1625400	I guess we don't need this second parenthesis anymore.
1625400	1632560	So what we've done here is, say, we have some complicated expression, 2 plus X.
1632560	1637840	Let's turn that into E. You know, for whatever E is.
1637840	1641160	Then we have this step here.
1641160	1648200	What's another backward step we can take?
1648200	1650240	Turn 5 into E. Yeah, sure.
1650240	1654600	This 5 can be a different E. We'll give this one a new name.
1654600	1657400	We'll call this one E2.
1657400	1659200	Lambda X dot E1.
1659200	1660640	So just to keep them separate.
1660640	1664560	They aren't the same variable E. They're a different expression.
1664560	1666080	Yeah.
1667080	1672160	Yeah, so this lambda X E1, we can call that E3.
1672160	1675240	And then we still have E2.
1675240	1679080	What's our last step?
1679080	1690480	We know that E1, E2 is one of the productions of E. So we can generate some E4.
1690480	1698080	So what we've done here is, we've stepped backwards from a final term, a program, into
1698080	1699580	the base expression.
1699580	1703600	Which means that we have a valid program in lambda calculus.
1703600	1705960	We were able to backward step here.
1705960	1706960	All the way to E. Yeah?
1706960	1722120	Yeah.
1722120	1729640	So what if...
1729640	1739600	In JavaScript, or in any language, really, we can do something like F of 3 times 2.
1739600	1745640	Where we have a complicated expression as a parameter to a function.
1745640	1753280	This is an E. But it's an E in the same exact way that F of 3 is.
1753280	1757360	Both of those are expressions that have a value.
1757360	1761000	That we want to, you know, backwards figure out.
1761000	1769240	Now, the specifics of how we can turn 5, which we're kind of hand waving as being part of
1769240	1773480	our language, into E is fair.
1773480	1776520	What I would say is...
1776520	1782460	We can write this as a full, long lambda expression.
1782460	1784800	But 5 is just shorter.
1784800	1785800	To do that.
1785800	1786800	Yeah.
1786800	1790840	But it would look kind of like 3 times 2.
1790840	1796880	When you write it all out.
1796880	1809600	Other questions about this backwards process that we've taken?
1809600	1810600	Yeah.
1810600	1814840	The three production rules that I gave you are the three rules of lambda calculus.
1814840	1816380	That's all that there is.
1816380	1821040	People put more rules on top of it to create variants of lambda calculus.
1821040	1825920	Things like typed lambda calculus or lambda calculus with objects.
1825960	1834240	But the base lambda calculus only has those three rules.
1834240	1836840	Other questions?
1836840	1840120	Okay.
1840120	1843000	In that case...
1843000	1846640	We have another example term here.
1846640	1853680	Lambda F dot F of 3 applied to lambda X dot X plus 1.
1853680	1854680	Yeah?
1855080	1856080	Yeah.
1856080	1871200	Yeah, so we went in a very specific order here.
1871200	1872720	Does that order matter?
1872720	1874560	Could we have gone in another order?
1874560	1883000	And would it have still worked?
1883000	1884000	You are nodding.
1884000	1885000	Right.
1885000	1886000	Exactly.
1886000	1903400	So we could have swapped some of these things around and done them in a different order.
1903400	1906280	We could have done this 5 to E2 right away.
1906280	1908320	And then done the next rule right after it.
1908320	1910120	And that would be fine.
1910120	1914760	That's another feature of the fact that these are context-free grammars.
1914760	1916720	The order here doesn't matter.
