start	end	text
520	2520	So please get your laptop, please get your notepads,
3780	6080	please get your laptops, please get your computers, please get
6080	8080	your tablets, please get your pens and paper.
18160	20160	So it's a nice major.
22360	24360	We are trying to make virtual signaling easier on them.
27300	29300	That's where we had helps a lot.
30100	32100	But it wasn't there.
33820	35820	It was more like an ARCO.
38160	40160	It wasn't really that small of a balloon.
45980	47980	But we got it bigger.
49900	51900	And the thing is everything on Panasonic is square.
52960	54960	So we were finally able to do it.
56980	58980	But it took us like two weeks to get it up to here.
60840	62840	All right, folks.
63720	65720	Let's get started.
68200	72080	Our bookkeeping before we begin lecture.
73400	78180	As posted. So solutions for homeworks one and two are posted on Canvas.
78820	81340	Go ahead and check them out. See how you did.
82020	84000	Grading is on the way.
84000	88200	For homework one, we're almost done. For homework two, we'll get there probably this week.
89200	97200	PA3 and homework three are both posted to Canvas. You should have access.
99200	102200	Homework three is primarily JavaScript.
102200	107200	And it will be covered in the end of today's lecture and Wednesday's lecture.
108200	110200	PA3 is entirely JavaScript as well.
110200	116200	So over the course of the next two weeks, we're currently talking about lambda calculus.
116200	119200	We're going to transition back to JavaScript for a little bit.
119200	123200	And then we're going to power through to Haskell next week.
123200	127200	We're going to be covering three pretty different languages in two weeks.
128200	132200	If that feels confusing and hard, stop by office hours.
132200	137200	In particular, Monday is generally light because the homework was just released.
137200	143200	So if you want to chat about not just homework, come to my office hours after class today.
144200	145200	Some general advice.
145200	150200	There are a lot of people posting, my PA tests are failing on Gradescope.
150200	153200	But they pass all of the local tests. What am I doing wrong?
154200	156200	It's not everyone. I recognize that.
156200	163200	But in general, the tests that I give you locally are not a complete test set.
163200	168200	It's an idea to make sure you've written some idea of the correct function.
169200	173200	The goal of Gradescope is to be the exam test.
173200	179200	So you shouldn't be writing your code, submitting to Gradescope, iterating 500 times.
179200	185200	It's more of write code so that it's probably done.
185200	188200	Submit once. You need to fix one or two things.
188200	193200	Write some more local test cases yourself to try and identify the problem.
193200	195200	Then resubmit.
196200	199200	So that's my advice there.
199200	203200	Write local tests. Local tests, local tests, local tests.
203200	207200	I don't give you everything. I just give you most things.
211200	216200	Okay. Any questions for me?
216200	219200	Anything that we should cover before we start class?
226200	229200	Okay.
229200	233200	Then hopefully today's the last lecture on LambdaCalc for a little while.
233200	235200	So maybe that's good and you like that.
235200	237200	Maybe that's bad because you've been loving it.
237200	239200	Either way, we'll be wrapping it up.
239200	243200	Starting off, we're going to talk about free variables again.
243200	247200	We have three equations that we built out last time.
247200	253200	I'd like for you guys to give me these two equations.
254200	260200	What is the free variables of a complex expression LambdaX.E?
260200	263200	What are the free variables?
263200	266200	Who can tell me?
266200	269200	Yeah.
269200	276200	Yeah. They are the free variables of E minus X.
276200	280200	We have bound X as one of the non-free variables.
280200	282200	It's one of the bound variables.
282200	290200	And then the free variables of a function application E1, E2 are what?
290200	293200	Yeah.
293200	297200	It's the union of what?
297200	299200	Yeah. Definitely.
299200	302200	So we find out whatever the free variables of E1 are.
302200	306200	And then union that with whatever the free variables of E2 are.
306200	310200	This is one set of equations that we care about in LambdaCalc.
311200	314200	What are the free variables of our space?
314200	317200	We did have a question on Wednesday saying,
317200	319200	isn't it all of the variables?
319200	321200	All variables ever?
321200	324200	Not necessarily just the free variables of E.
324200	330200	And to that, I would say a variable is only a variable if it's being used.
330200	332200	So just for that point.
332200	335200	Okay.
335200	338200	This is our second set of equations.
338200	342200	So our first set of equations, these ones to calculate the free variables.
342200	347200	Our second set of equations are about how do we actually do substitution?
347200	350200	How do we do capture avoiding substitution?
350200	352200	And what do we do with these?
352200	358200	What is X where X is E?
358200	368200	How do we reduce the first statement?
368200	369200	Who's got an answer?
369200	371200	Yeah. Go for it.
371200	372200	Just reduces to E.
372200	375200	We get to do our replacement as you would expect.
375200	379200	If X is the value 3, when we see X, we replace it with the value 3.
379200	381200	For example.
381200	382200	All right.
382200	385200	Then we have the variable Y where X is equal to E.
385200	388200	What's this reduced to?
388200	394200	Who's got an answer?
394200	397200	Yeah.
397200	401200	Y if Y is not equal to X.
401200	408200	So assuming these are two different variables, then we just get to ignore whatever we set X to be.
408200	410200	Okay.
410200	412200	What about E1, E2?
413200	416200	Also known as a function application.
416200	420200	E1, E2 where X is equal to E.
420200	430200	How does this reduce?
430200	431200	Yeah.
432200	435200	Yeah.
435200	439200	So we get to say all occurrences of X are replaced with E.
439200	447200	But a little bit more generically, we say all occurrences of X in E1, we will replace with E.
447200	453200	Or we'll continue to recursively substitute inside of E1, X is equal to E.
453200	460200	And we will recursively substitute in E2, X is equal to E.
460200	461200	All right.
461200	464200	And then we have our function, our lambda abstraction.
464200	468200	Lambda X.E1 where X is equal to E.
468200	482200	What do we do here?
482200	484200	Yeah.
484200	488200	Just E1.
488200	491200	Who agrees?
491200	493200	So just E1.
493200	496200	This is, I think, a common point of confusion.
496200	502200	If I can find my pen.
502200	514200	There's a meaningful difference here between lambda X.E1 with the state X is equal to E.
514200	524200	And lambda X.E1 applied to E.
524200	532200	This is an application, a function application, where this is an expression and this is an expression.
532200	536200	This is the parameter to this function.
536200	539200	Here what I'm saying is I have an expression.
539200	544200	And I have some state that goes along with that expression.
544200	556200	Where I can say X is equal to E inside of this expression here.
556200	562200	So these are two different things that we're talking about.
562200	565200	I'm looking up here.
565200	568200	What do we do?
569200	582200	You already got one.
582200	587200	Yeah.
587200	596200	E1 where X is evaluated to E.
596200	605200	E1 where X is equal to E.
605200	610200	What we've done here is we've lost this lambda.
610200	616200	We aren't doing a function application in this expression here.
616200	618200	There's no function application.
618200	621200	So we should end up with a function at the end.
621200	626200	We don't want to substitute in any value into this function.
626200	629200	Because that's not what we're doing at this point.
629200	635200	This here is what we would get if we had said, if I had kept the original thing.
635200	637200	I don't know why I erased it.
637200	649200	If we kept lambda X.E1, E, this would simplify to E1 where X is equal to E.
649200	651200	This is our function application.
651200	654200	E is a parameter to this function.
654200	659200	So X is equal to E. And we get E1 where X is equal to E.
659200	661200	Up here, we have an expression.
661200	665200	And we have state that's going along with it.
665200	666200	Yeah.
666200	669200	Right.
669200	676200	So when we are doing this step here, what we get to do is we get to actually drop our state entirely,
676200	681200	like you've said, and get just lambda X.E1 out of it.
681200	687200	Yeah, question.
687200	689200	That's precisely correct.
689200	692200	So this X is from an outer statement.
692200	696200	It's a different X than this X.
696200	706200	So one way that I personally look at this here, when I see that, I go backwards.
706200	710200	And I say, how did we get here?
710200	717200	We got here by having a lambda X.E.
717200	719200	This is our inner expression.
719200	722200	This corresponds to this piece.
722200	723200	E1, sorry.
723200	728200	And then we had an X, or that's an E.
728200	740200	An E as a parameter to this outer function where we have X as our parameter name.
740200	748200	So we can go backwards from this starting point to get to what it might have looked like before.
749200	750200	Maybe it looked like this.
750200	753200	Maybe it was more complicated.
753200	764200	But if we simplify this line here, we would get to this point.
764200	768200	OK.
768200	769200	Other questions on this one?
769200	771200	Because it definitely can be confusing.
771200	772200	Yeah.
772200	800200	So it can't be E1 and then E. What do you mean by that?
800200	801200	Right.
801200	814200	So why we can't say that this piece here becomes E1 where X is equal to E, or something of this sort, is because this isn't an application.
814200	818200	We aren't making a function call here.
818200	822200	We have an expression, and we have state that goes along with it.
822200	833200	Any time you see square brackets in lambda calculus, we're talking about the state of our kind of world, of our program.
833200	837200	Parentheses and all of this side, that's all the expression.
837200	840200	That's the math that we're actually trying to solve.
840200	843200	This is the accompanying state.
843200	845200	It's not part of the expression.
845200	848200	It's not something that we're going to ever substitute in.
848200	851200	It's just saying this variable is equal to that.
851200	857200	This variable is equal to that.
857200	858200	Yeah.
858200	862200	So basically, that's a bound variable, right?
862200	863200	X.
863200	868200	So wouldn't it be more comfortable for reading?
868200	870200	We could, but we don't need to.
870200	871200	Yeah.
871200	884200	Yeah, so we could kind of accumulate as much state as we want.
884200	890200	We could say X is equal to E, and then we'll replace this one with a Z so that eventually,
890200	892200	we never rewrite this X.
892200	893200	We never overwrite it.
893200	895200	We could do that, but we don't need to.
895200	896200	Yeah.
897200	904200	So this next problem is basically the same sort of similar to this problem?
904200	905200	Yes.
905200	908200	So now, let's move on to this next one.
908200	915200	Lambda Y dot E1, where X is equal to E2.
915200	920200	How do we simplify this?
920200	931200	First of all, what happens if Y is equal to X?
931200	934200	Yeah.
934200	939200	Right, if Y is equal to X, then we just use this rule.
939200	941200	And we say, OK, Y is equal to X.
941200	946200	Then we drop this state, and we'll get lambda X dot E1.
