start	end	text
90960	98640	That's gonna be really unfortunate for the rest of this class. Alright guys, so
98640	105680	as hopefully all of you know, midterm is postponed to not this Wednesday but next
105680	113960	Monday. That means you get an extra four days to study, I think. That is entirely
113960	119880	my fault for over, like, over planning the semester. Things are going a little bit
119880	124400	slower. That's fine. I don't want to test you on type inference when we haven't
124400	130640	talked enough about type inference. That's just not fair. So what we're gonna
130640	137880	do today is talk about types and type inference. Homeworks and PA... Homework 4,
137880	143120	PA 4, both were delayed to this upcoming Sunday as well, in case you didn't see
143120	150240	that. Those are the notes. Anybody have questions about that stuff? Any logistics
150240	154000	questions? Yeah?
154000	157920	Is there going to be any PA 5 this week?
157920	166400	No PA 5 this week. No PA 5 next week either. Yeah. So we're... I'm swapping things
166400	170840	around a little bit. Everything will be in your favor. You guys as students will
170840	177040	enjoy the fact that you won't have as much work altogether. Maybe. Or you'll be
177040	182120	sad that we miss out on a few extra fun lectures at the end. Everything's a give
182120	183120	and take. Yeah?
183120	187880	So if PA 5 is delayed another week, is it due during spring break?
187880	193840	No, no, no. Spring break. No work. Nothing. So next week is Monday's midterm. Wednesday
193840	200280	is going to be a lecture about PL in research and, like, why are we talking
200280	205280	about all of this stuff? And how does this actually play into what, like, real
205280	210960	world looks like? And then spring break, no homework, no projects, nothing. We
210960	215400	come back from spring break, we're going to start talking about generics. And
215400	222560	how type classes work. How C++ does things. Things of that nature. Yeah.
222560	228000	That's the roadmap.
228000	238600	Any other logistics? All right. Cool. So Wednesday is review. We're going to be
238600	242880	doing entirely review for the midterm. We will be doing lambda calculus, we'll be
242880	247400	doing closures, we'll be doing types. All of that good stuff. For now, we're just
247400	250440	talking about types.
250440	253440	What is the type of this expression?
253440	255440	Yeah?
255880	257880	Yeah.
257880	267600	What's the type of the result of this expression? Yeah. No, I think I was ambiguous
267600	274280	there. It's an int. This expression will evaluate to be an integer. That seems
274280	278880	reasonable. At least within our micro Haskell. Maybe you could argue it's like
278880	282840	number. It's of type number. We could be adding floats or something. But not in
282840	285800	micro Haskell.
285800	289320	How do we know that this is of type integer? That the result is going to be of
289320	290320	type integer?
290320	291320	Yeah.
291320	316520	Yeah, so we know that the plus operator takes two numbers and it returns a
316520	320640	number. And if one of the numbers is an integer, then all of the numbers will
320640	325800	be integers. In micro Haskell, we know plus operates on integers. We only have
325800	328680	integers.
328680	335760	So what we can do to make it a little bit more explicit, we can say let y equal
335760	340560	2 plus x. And then we would say, like, this is just JavaScript, right? I'm not
340560	347360	really talking about Haskell here. Let y equal 2 plus x. What is the type of y?
347360	358480	We've said it's an integer.
358480	361920	This is a very simple expression. There's not a lot of complicated stuff going
361920	366440	on there. So it should be relatively straightforward to look at this and say
366440	371880	what's the type of it? But not all expressions are simple. Functions can be
371880	376840	very complicated. But they still want to have a type signature. They still take
376840	381240	input and return output. And you want to be able to figure out how does input
381240	384160	correspond to output?
384160	387560	So we're starting with a simple example. But everything that we're going to talk
387560	394040	about applies to more complicated functions.
394040	398960	And this process that we have done here, mentally, the compiler somehow has to
398960	405880	do. We have to get our interpreter or compiler to understand our expressions so
405880	412920	that we can figure out their types and verify your code as being error free.
412920	417920	The process for doing that I described last time as the Hindley-Milner type
417920	423000	inference algorithm. And the algorithm breaks down into five steps.
423000	428400	Step one is parse the program. Where you break apart the literal text to find
428400	433280	out what is going on in this program. Step two, we assign arbitrary type
433280	438640	variables to all of our nodes. Step three, we look at the constraints from
438640	445760	our program. Step four, solve. And step five, look at your final type.
445760	450600	We're gonna take this approach on a couple of programs today and see where it
450600	460560	gets us. So let's start with the first example. We had... I think it's fx equals
460560	468080	2 plus x. Now we're in Haskell. We have a function that we have called f.
468080	475800	It takes a parameter called x, and it returns the result 2 plus x.
475800	478520	What do we expect the type to be?
491320	495000	How many of you are just being quiet and know the answer, but you just don't
495000	502280	want to answer? Okay. A decent number of you.
502280	508640	This... Being able to look at this function and intuit the type and just say,
508640	514240	like, this is the type, not really for any specific reason, is an important,
514240	520400	like, skill to have. So you... I do, to some extent, expect you to be able
520400	527040	to look at a function and say, this is a type of this. So if that feels
527040	531120	uncomfortable, that's okay. But get some more practice with it,
531120	534280	and hopefully this will help. So someone who is comfortable,
534280	538240	what type is this function? Yeah?
538240	545160	It's a function that takes an integer, and it returns an integer.
545160	551920	So we have int to int. What we're saying here is the arrow denotes
551920	559560	that it's a function. It has an input of an integer and an output of an integer.
559560	563520	So we are going to go through this whole step, 1, 2, 3, 4, 5.
563520	569040	If we don't get this result at the end, we've probably done something wrong.
569040	572960	I want to emphasize, when I, like, give you a test and say,
572960	576640	solve for the type of this thing, you are allowed to look at it and say,
576640	581960	as a human, I know the type should be this to this. That's not cheating.
581960	586560	That's just, like, using common sense. Then do the algorithm and prove that it
586560	590640	is that to that. That's the important, like,
590640	597840	understanding connection piece. Okay. So we have the type that we think it is.
597840	604800	And now we want to prove it. Our first step is to parse the program.
604800	614120	How do we parse the program? What does that even mean? Yeah?
614120	628960	Yes, we're going to split up the literal text of our code into nodes.
628960	634840	What are we going to do then? So let's talk about what a parser is.
634840	642840	The parser reads this string of text from a text file, from a Haskell file,
642840	648440	and it breaks it into tokens. It says I have an F token, I have an X token,
