start	end	text
0	5000	This is a course on the principles and paradigms of programming languages.
30000	32000	This is a course on the principles and paradigms of programming languages.
60000	88880	This is a course on the principles and paradigms of programming languages.
89880	91160	Is there a fourth option?
91160	92120	Is that what you said?
92120	92840	Yeah, really hard.
92840	93340	Really hard.
100160	102160	This is anonymous, just so you guys know.
102160	104480	I'm not recording what you say.
108160	110160	Can you guys see two questions, by the way?
110160	112000	Or just one?
112000	112760	You see two?
112760	113260	Great.
113260	113760	Thank you.
118880	119840	I'm taking an exam.
119840	121840	I'm trying to figure out, like, what is it?
121840	123820	Are we going to do, like, a couple of them?
123820	124320	Yeah.
124320	125320	I don't know that.
125320	127800	Like, I feel like we're going to do a couple of those.
127800	129280	Yeah, professor, really hard.
129280	130760	They do this every day, right?
130760	132240	And then they're like, I don't know.
132240	133720	So I'm like, you're really weird.
133720	134720	I'm like, I don't know.
134720	135720	I'm like, I don't know.
135720	136720	I'm like, I don't know.
136720	137720	I'm like, I don't know.
137720	140720	I think my answer to that is I'm like, I'm not great.
140720	141720	I'm like, I don't know.
141720	142720	I'm like, I don't know.
142720	143720	I'm like, I don't know.
143720	144720	I'm like, I don't know.
144720	145720	Fair enough.
145720	146720	Yeah.
146720	159720	Can we get participation points from participating in class, or is that only in class?
159720	160720	Yes.
160720	166720	In class matters, but a lot of it is, like, if I can know your name.
166720	173000	I have a photo of everyone, and I match it with your name, and then based on how well
173000	175600	I remember you participating in class.
175600	177520	So it's a little bit of a loose system.
177520	181480	But it kind of works.
181480	182480	Bring a name tag.
182480	183480	It might work.
183480	184480	It might help.
184480	186160	All right, guys.
186160	190600	We have 27 responses here, so I think we are gonna close it out, because it looks like
190600	192360	there are roughly 30 people.
192360	195160	Those of you in the back, you should scoot forward.
195160	196160	Why not?
196160	197160	You know?
197160	199020	Come on up a little bit.
199020	204040	We will be looking at some code on the screen, and the code is a little bit small, so the
204040	207800	closer up you are, the better.
207800	210800	Can I show you the responses?
210800	212800	Responses.
212800	214800	Okay.
214800	217840	That sounds good.
217840	223180	So harder than it was medium, and definitely not easy.
223180	226680	And then in terms of fairness-ish.
226680	231920	All right.
231920	234200	So compared to last semester, maybe a bit harder.
234200	235200	Good to know.
235200	237700	I will take that into account as we go forward.
237700	241720	Thank you for your feedback.
241720	245560	Don't forget, we do drop the lowest midterm, so if that's this one, great.
245560	247560	If it's not this one, also great.
247560	249760	Up to you.
249760	252280	All right.
252280	257200	Welcome to a fun lecture in CS538.
257200	261520	I try and add these as much as I can, because I like to talk about things that aren't just
261520	268520	the stuff that's on the ACM, like, requirements for what principles and paradigms of programming
268520	270280	languages is.
270280	273200	Before we get into the fun stuff, some notes.
273200	275740	The PA and the homework are not going to be released.
275740	280240	If you already have a copy somehow, because you stole them while they were halfway released
280240	282040	or something, ignore them.
282040	283480	They are not released.
283480	286080	You don't have to do them until after spring break.
286080	289480	Have a fun spring break.
289480	290920	Midterms will be graded soon-ish.
291320	292320	I have them all scanned.
292320	295840	The TA and I will be grading them.
295840	300680	We will get those back to you hopefully within a week, and then once that is done, I will
300680	304880	be able to update Canvas with your current grade.
304880	314120	This will be unscaled, so it won't be – if there is a curve, there's no curve on this
314120	319000	grade, but it will have your 10% bonus for submitting early.
319000	325760	It will have the individual weighting of each assignment versus the other assignments.
325760	330040	This should be a pretty accurate reflection of what your grade will be at this point in
330040	331400	time.
331400	334800	I'm hoping that that will be done before spring break ends.
334800	341640	It takes a while, so please be patient.
341640	348360	I have a coding project that is school-related, so it's not work, it's not industry stuff.
348360	349880	It's a coding project.
349880	356920	If somebody is a very proficient Python coder and interested in hacking on something, come
356920	362600	chat with me either after class or in office hours or send me an email.
362600	363600	It might be hard.
363600	364600	I don't know.
364600	365600	We'll figure it out.
365600	370320	There is a course eval that is the midterm course eval.
370320	373020	You got it from the school.
373020	374520	They ask you to fill it out.
374520	375520	Please do.
375960	381920	I appreciate it, because I take that information into all of the rest of my teaching.
381920	390000	Let me know if I'm doing anything poorly or well, and I will try and fix or stay the course.
390000	391000	Those are my notes.
391000	392380	There were a lot of them.
392380	399600	Any notes from you guys?
399600	402120	It's a fun lecture, so we can talk about anything.
402120	403120	Anything on your mind?
403120	404120	Yeah?
404120	408920	These lecture slides are called static analysis.
408920	409920	They are on Canvas.
409920	410920	Yep.
410920	411920	Yep.
411920	424080	I will post the solutions to the midterm.
424080	427760	I don't typically go over them, but we can do that in office hours if you want to stop
427760	432360	by.
432360	434640	Anything else?
434640	437960	All right.
437960	441200	Today's lecture is loosely based...
441200	442920	It was going to be something totally different.
442920	448480	And then I read this article this morning called fixing the next 10,000 aliasing bugs.
448480	451240	And just from the title, you know that's gonna be super exciting.
451240	452240	I was like, yes!
452240	455920	This is the thing I want to spend an hour and a half chatting about.
455920	457880	No, not actually.
457880	463600	It's a really boring looking title, and only a real PL nerd would get excited about that.
463600	468120	But that's because they missed out on the real title.
468120	474760	Which is using type inference to make $150.
474760	477200	Minor correction.
477200	481320	To steal $150 million.
481320	487920	So the algorithm that we have been covering, Hindley-Milner type inference, loosely can
487920	495800	be used to describe an attack that took place two years ago and resulted in somebody literally
495800	499120	stealing $150 million.
499120	503000	All of the material, or almost all of the material, comes from this blog post, the one
503000	505600	that I showed at the start there.
505600	507960	All the animations are my own.
507960	509800	All right.
509800	512880	So let's take a look at Java.
512880	517160	I'm certainly not proficient in Java, but I have a little piece of Java for you.
517160	523280	If you have your computer with you, feel free to go to my GitHub, to the CS538 snippets
523280	527520	repo and take a look at the code that is there.
527520	532120	Otherwise, I'm gonna put the code up on the screen so we can all look at it as a class.
532120	537800	But if you want it so you can play around with it, do so.
538800	541800	All right.
559800	560800	All right.
560800	569440	So in that folder, you should have a bug.java, if you can find it.
569440	571800	And when we look at this...
571800	574800	All right.
574800	579800	I can go one bigger, two bigger, three bigger.
579800	580800	Yeah.
580800	581800	Is that readable?
581800	585840	If it's not readable, there are plenty of seats up front.
585840	587800	So please do come up front.
587800	589500	All right.
589500	591500	We have Java code.
591500	597300	I have not written Java code since probably my sophomore year of college.
597300	601500	So even getting this to compile was like, what is going on?
601500	602820	But I did.
602820	605900	So that's good.
605900	607800	We have a class called MyList.
607800	613180	This might come out from you having to write a data structure in one of your intro CS classes.
613180	619100	You're told, write a data structure for a list in Java.
619100	624620	This list should be able to add items of arbitrary length.
624620	631300	So even though it started out as an array of ten items, once I add the eleventh item,
631300	636180	it should be able to restructure and become an array of length 11.
636180	637220	Or 20.
637220	638760	Or 100.
638760	642220	So it should be a dynamically lengthed list.
642220	646500	But we have to stick within Java, so we're going to use an array to do that.
646500	652100	And every time we go past our bounds, we will reallocate a new array, copy over all
652100	656180	the old elements, and be good to go.
656180	657320	Great.
657320	659780	So we have some code.
659780	665540	My challenge to you is identify the bug.
665540	669000	And I'll give you five to ten minutes to do so.
669000	676020	If you have code on your computer, feel free to download it, compile it, run it, and figure
676020	677420	out what's going on.
677420	680020	If you don't have code, talk to somebody next to you.
680020	682920	Or stare at this for a little while.
682920	686740	There is one piece at the very bottom that's not being shown.
686740	694720	All that is is the main function, where I create a list S, I create a list T, add elements,
694720	700020	and then, like, concatenate the two lists together.
700020	705700	All right.
705900	707900	So...
707900	708900	Find the bug.
708900	713500	I'll wander around and chat with you guys individually to see what you come up with.
713500	715780	But give it five or ten minutes of debugging.
735700	736700	And I'll see you guys later.
736700	737700	Bye.
737700	737700	
765700	766700	Bye.
766700	766700	
795700	796700	Bye.
796700	796700	
826700	827700	Bye.
827700	828700	Bye.
828700	828700	
855700	856700	Bye.
856700	856700	
886700	887700	Bye.
887700	888700	Bye.
888700	888700	
915700	916700	Bye.
916700	916700	
946700	947700	Bye.
947700	948700	Bye.
948700	948700	
976700	977700	Bye.
977700	978700	Bye.
978700	978700	
1005700	1006700	Bye.
1006700	1007700	Bye.
1007700	1007700	
1035700	1036700	Bye.
1036700	1037700	Bye.
1037700	1037700	
1066700	1067700	Bye.
1067700	1068700	Bye.
1068700	1068700	
1096700	1097700	Bye.
1097700	1098700	Bye.
1098700	1098700	
1125700	1149820	Okay.
1149820	1152540	So what did we come up with?
1152540	1153540	Who's got some ideas?
1153540	1157260	I heard a lot of different ideas floating around.
1157260	1159340	Did anybody get an actual error?
1159340	1164300	Was anybody able to compile this and run it with some sort of main?
1164300	1168900	Like changing this at all and getting an actual error?
1168900	1170300	Okay.
1170300	1173060	Fair enough.
1173060	1181180	Did anybody come up with something that might be going wrong?
1181180	1190660	All right.
1190660	1193140	I'd like to poll the class.
1193140	1199980	You have four functions, if you include the constructor as a function.
1199980	1202380	Where is the bug?
1202380	1204820	Could be based on your gut or just...
1204820	1205820	I don't know.
1205820	1206820	Something else.
1206820	1207820	But I'm curious.
1207820	1208820	Where do you think the bug is?
1208820	1212020	Choose one of the four functions.
1212020	1213100	The constructor.
1213100	1215980	My list.
1215980	1218980	Ensure capacity.
1218980	1220700	Add.
1220700	1221700	Add all.
1221700	1222700	Okay.
1222700	1225340	We got about a 50-50 split.
1225340	1228380	Add all and ensure capacity.
1228380	1229380	So which one is it?
1229580	1232860	First of all, let's double check that I haven't, like,
1232860	1237940	just cheated the whole time, and we can actually compile this thing.
1237940	1244820	Compiles, it gives us a warning for our types, but that's fine.
1244820	1247740	And then if we actually run it, we do actually run it.
1247740	1251300	So there's no bug.
1251300	1256300	That's gonna be annoying.
1256300	1258780	In this main.
1258780	1263300	In this version of main, where we create a list, we create a second list,
1263300	1266020	we add an element to the first list, or to the second list,
1266020	1269540	add an element to the second list, and then add them together.
1269540	1270620	This part's fine.
1270620	1271620	No bugs.
1271620	1272620	Compiles.
1272620	1273620	Runs.
1273620	1274620	Without issue.
1274620	1286700	I'm gonna make a one-character change.
1286700	1291180	That's all that we're gonna change.
1291180	1295980	This is what it was.
1295980	1307220	This is what I'm changing it to.
1307220	1309460	What happens?
1309460	1314220	What we are saying now is that we're taking a list S
1314220	1322740	and add all the elements from S to that list.
1322740	1323740	So what's gonna happen?
1323740	1324740	Yeah.
1324740	1334980	There's gonna be a problem with ensure capacity.
1334980	1337260	Let's run through it and see if there is.
1337260	1339540	So we hit add all.
1339540	1342860	Our parameter C is the list S.
1343380	1346780	We are in the scope of S itself.
1346780	1353100	So when we call ensure capacity, we're using the S version of ensure capacity,
1353100	1358460	with the length of S and the length of S.
1358460	1362060	So 2 times S.
1362060	1366980	When we call ensure capacity with 2 times the length of S,
1366980	1371460	which in this case is length 1, so it's a value of 2,
1371460	1376780	we would check to see is min capacity 2 greater than array.length?
1376780	1377780	Yes.
1377780	1381060	Array.length is 1.
1381060	1386060	So then we're going to set the new capacity equal to 2.
1386060	1389340	The max of 2 and 2.
1389340	1397020	Create a new list of length 2 and copy the old list into the new list.
1397020	1399700	Is there a bug there?
1399700	1406340	Did anything break?
1406340	1409420	I don't think anything did break.
1409420	1422340	And yet, so if we recompile and we rerun, we crash.
1422340	1426220	So ensure capacity did not have any issue,
1426220	1429780	but making this change did break something.
1429780	1432540	That leaves the second group.
1432540	1438340	The group that had the intuition that the issue is in add all.
1438340	1446020	Something has gone wrong in add all after our ensure capacity check.
1446020	1447020	What is it?
1447020	1448020	Yeah.
1448020	1465980	Right.
1465980	1474660	So in Java, we are referencing this S, the length variable on that S,
1474660	1477780	which we are incrementing inside of this for loop.
1478540	1488380	However, our for loop check is saying until we are less than the length of C.length.
1488380	1490900	While we are less than C.length.
1490900	1495820	C is S. And we are incrementing the value of S's length.
1495820	1499540	So we will continue going through this for loop over and over and over
1499540	1503580	until we actually hit the bounds of the entire loop,
1503580	1514460	which is when we get our final array index out of bounds exception.
1514460	1519660	So I've got some slides to make this a bit more step by step.
1519660	1527340	Let's go to those.
1527340	1531100	The thing that we have, actually, let's go back.
1531100	1532700	Let's do this backwards.
1532700	1537220	We start with add all.
1537220	1543180	And our first step of add all is saying let's ensure the capacity of the current list
1543180	1547800	is greater than the old list with the new list combined.
1547800	1551180	So make sure that we have enough space for whatever we're doing.
1551180	1555140	And this is the, like, we're calling this the correct way.
1555140	1560460	On the first iteration, I is zero, length of our list is two,
1560460	1566020	length of C.length, or C.length is one.
1566020	1570900	We execute the body of the loop, incrementing our length.
1570900	1576420	And then setting C.length, or C.length is still one.
1576420	1581940	Loop back through, am I on the right one?
1581940	1582940	I am on the right one.
1582940	1584260	We go back to the top.
1584260	1587380	We check is I less than C.length.
1587380	1588380	It's no longer.
1588380	1589380	So we're done.
1589380	1595700	This is if we ran it with the correct inputs, like not passing S. We don't run into any
1595700	1601660	issue because C.length has remained constant.
1601660	1609100	On the other hand, if we pass in S as our parameter, first we do that same ensure capacity
1609100	1610660	check.
1610660	1617940	Then we say I is equal to zero, length is equal to two, C.length is equal to two.
1617940	1625220	When we get to our length++, we increment not only our length, but also C.length.
1625220	1629860	Because C.length is the same as our length.
1629860	1635140	Which means that C.length increments with our own length.
1635140	1640380	We go back up to the next time, increment I. I is less than C.length.
1640380	1649660	And this will continue forever and ever and ever until we actually index into the array
1649660	1656540	at an invalid location.
1656540	1661340	So this is the bug that we have found.
1661340	1670300	Questions on the bug?
1670300	1672020	It's a bit involved.
1672020	1679740	I recognize that.
1679740	1685220	So if we go back to what went wrong, we had this implicit invariant.
1685220	1692260	And it was that the length of the input list does not change between the ensure capacity
1692260	1695380	call and the for loop.
1695380	1707060	Outside of our add list, or add all function, our input list length does not change.
1707060	1713420	And you might look at that and say, that's safe, so long as we aren't multithreading.
1713420	1718420	It makes sense that if we're multithreading, maybe somebody updated the list in between.
1718420	1721380	But if we aren't multithreading, maybe we're safe.
1721380	1723960	What we found is that no, that's not true.
1723960	1730520	If we pass in the same object itself, when we increment length, we're incrementing the
1730520	1732240	input length as well.
1732240	1742360	Which means we've broken our invariant.
1742360	1743360	Sound good?
1743360	1744360	Questions?
1744360	1749740	All right.
1749740	1755820	So how does this turn into $150 million?
1755820	1760140	How many of you are familiar with DAOs?
1760140	1761140	Some number of you.
1761140	1763340	Follow, like, news and whatnot.
1763340	1768260	So before we talk about what a DAO is, we should take a second to say, what is a smart
1768260	1769260	contract?
1769260	1771700	How many of you know what smart contracts are?
1771700	1772700	Very few.
1772700	1773700	How many of you have written a smart contract?
1773700	1774700	All right.
1774700	1777060	One or two.
1777060	1787140	So a smart contract is a small piece of public code, very similar to an API endpoint.
1787140	1794220	However, different than an API endpoint is that it's run on a distributed cloud.
1794220	1800020	Typically associated with what's called a blockchain.
1800020	1806260	And the way that you purchase credits so that you can run code on this distributed
1806260	1812020	cloud is that you pay with a digital currency.
1812020	1816020	Such as Doge.
1816020	1821060	What this code is, though, is effectively anything.
1821060	1828340	We can write whatever web app we want and run it on a distributed cloud.
1828340	1829660	For example, ETH.
1829660	1833600	Or I guess Doge doesn't actually have smart contracts, but that's beside the point.
1833600	1837900	So there are languages designed to write smart contracts.
1837900	1841540	One of them, for example, is called Solidity.
1841540	1843780	Solidity looks something like this.
1843780	1847380	We create a contract and we give it a name.
1847380	1850140	And it has some stored data.
1850140	1853260	And then we define functions on that contract.
1853260	1856500	Set and get, for example.
1856500	1862980	Someone can then call these functions and provided they pay the gas to make them happen,
1862980	1867380	they will execute that code.
1867380	1873420	This is a really convenient model compared to the idea of having to spin up your own
1873420	1879020	EC2 box, where you're running all of your functions and having it all handled there.
1879020	1885060	You just deploy your code and pay other people to run it for you when you want it to be run.
1885060	1886060	Very cool.
1886060	1893820	In theory, crypto and Web3 have kind of spiraled into insanity at this point.
1893820	1901660	But fundamentally, cool idea.
1901660	1903540	You guys like seeing real code?
1903540	1914220	So this is a smart contract that I wrote that creates, like, NFTs of those audio snippets
1914380	1916620	that I showed you from before.
1916620	1922220	So not only do you put one line of HTML and I turn your web page into a podcast, I also
1922220	1927660	mint an NFT that you can then put on OpenSea.
1927660	1929140	This feature never deployed.
1929140	1931460	It was just more of a meme.
1931460	1935740	And then to show investors and be like, hey, yeah, we're Web3.
1935740	1939900	Anyway, back to the DAO.
1939900	1944340	So what is a DAO?
1944340	1953220	The original DAO was this relatively reasonable idea that we could build a smart contract
1953220	1959100	and have it be used as a distributed investment fund.
1959100	1962780	Remove the idea of a hedge fund.
1962780	1964660	Remove big banks.
1964660	1965660	They suck.
1965660	1968220	They only help the very wealthy.
1968220	1972540	Let's have a distributed hedge fund, effectively.
1972540	1974060	The functionality is very simple.
1974060	1976060	You put money in.
1976060	1978460	The money grows over time.
1978460	1981460	You vote on what the fund should invest in.
1981460	1982900	And you vote...
1982900	1988940	Your weight of your vote is corresponding to your percent ownership of the DAO.
1988940	1992780	And then obviously you get to pull money out.
1992780	1998540	Once it has grown and accumulated value.
1998540	2000860	Power to the people.
2000860	2001860	Distribute finances.
2001860	2003860	It's great.
2003860	2005860	Oops.
2005860	2009060	So...
2009060	2011700	It's a great idea.
2011700	2018900	But now we're starting to put real money in code where what if there's a bug in your code
2018900	2023620	and you can never pull out your money again?
2023620	2030300	This is an abbreviated version of the real DAO smart contract where you would be able
2030300	2032340	to withdraw money.
2032340	2036700	So when you had put in your money and it had grown and you decided it's time to pull this
2036700	2043140	money out so I can use it again, you would call this function and you would say...
2043140	2044700	Here's my ID.
2044700	2048420	This is how much money I want to withdraw.
2048420	2051220	And simplified, it would boil down...
2051220	2053940	The function boils down to roughly this.
2053940	2055260	Step one.
2055260	2061260	Calculate how many funds, how much of the money that you have in the DAO do you want
2061260	2062260	to remove?
2062260	2065260	Do you want to remove 5 ETH?
2065260	2067300	Do you want to remove 10 ETH?
2067300	2068500	0.1 ETH?
2068500	2072700	So calculate how much money you want to move.
2072700	2074340	Step two.
2074340	2076420	Prepare to move that money.
2076420	2080700	And check to see if there's an error when you remove that money.
2080700	2086060	So if they're trying to move more money than they have, for example, check.
2086060	2088940	If they are, don't do it.
2088940	2094460	Don't let somebody withdraw 10 ETH when they only have 5 ETH in their bank.
2094460	2101140	So that's what this if error or if no error, then withdraw the actual money.
2101140	2102300	They're asking for their money.
2102300	2103620	Give them the money.
2103660	2106540	Finally, zero the user's balance.
2110300	2110800	All right.
2110800	2111800	What goes wrong?
2122660	2123660	Yeah?
2123660	2129780	What if they're not withdrawing all their money?
2129780	2130780	Yep.
2130780	2131780	What do you mean?
2131780	2135260	At the bottom, that would be zero, right?
2135260	2136100	Oh, sure.
2136100	2138020	Yeah.
2138020	2141260	That's me simplifying code.
2141260	2144100	We set it to be whatever is remaining.
2144100	2147100	Or we could pretend this is full withdrawal.
2147100	2147600	Yeah.
2147600	2148100	Either way.
2158020	2158520	Yeah.
2158600	2162480	This createToken.value is basically our check to say,
2162480	2166440	will this thing, when we withdraw this amount of money,
2166440	2169080	will it cause an error?
2169080	2172480	What it's really doing is it's preparing a separate coin
2172480	2176080	for that user under the hood and all of this
2176080	2178440	that we will transfer to that user.
